seed,corruption_level,model_a,model_b,n_samples,both_correct,model_a_only_correct,model_b_only_correct,both_wrong,accuracy_delta_a_minus_b,p_raw,p_holm,significant_holm_0.05
132,25,bpe_1000,char,2000,1416,153,183,248,-0.015,0.11349676453500426,1.0,False
132,25,bpe_2000,bpe_5000,2000,1501,86,138,275,-0.026,0.0006232486279910564,0.7055174468858758,False
132,25,bpe_2000,char,2000,1432,155,167,246,-0.006,0.5399383083637411,1.0,False
132,25,bpe_5000,char,2000,1456,183,143,218,0.02,0.030614845447971436,1.0,False
132,30,word,bpe_500,2000,1386,207,157,250,0.025,0.010122718947356998,1.0,False
132,30,word,bpe_1000,2000,1394,199,151,256,0.024,0.011887974920979162,1.0,False
132,30,word,bpe_2000,2000,1425,168,155,252,0.0065,0.5043879247567479,1.0,False
132,30,word,bpe_5000,2000,1482,111,144,263,-0.0165,0.044866763799114244,1.0,False
132,30,word,char,2000,1414,179,184,223,-0.0025,0.8337462766207352,1.0,False
132,30,bpe_500,bpe_1000,2000,1390,153,155,302,-0.001,0.9545731950616047,1.0,False
132,30,bpe_500,bpe_2000,2000,1404,139,176,281,-0.0185,0.04235169571794239,1.0,False
132,30,bpe_500,bpe_5000,2000,1415,128,211,246,-0.0415,7.65193384533621e-06,0.010337762625049221,True
132,30,bpe_500,char,2000,1405,138,193,264,-0.0275,0.0029394515441761803,1.0,False
132,30,bpe_1000,bpe_2000,2000,1406,139,174,281,-0.0175,0.05445795808534774,1.0,False
132,30,bpe_1000,bpe_5000,2000,1424,121,202,253,-0.0405,7.697829831495536e-06,0.010392070272518974,True
132,30,bpe_1000,char,2000,1399,146,199,256,-0.0265,0.005043426803346455,1.0,False
132,30,bpe_2000,bpe_5000,2000,1480,100,146,274,-0.023,0.004024845351825782,1.0,False
132,30,bpe_2000,char,2000,1422,158,176,244,-0.009,0.3522849360552521,1.0,False
132,30,bpe_5000,char,2000,1445,181,153,221,0.014,0.139458657047449,1.0,False
132,35,word,bpe_500,2000,1352,213,173,262,0.02,0.04699875346635248,1.0,False
132,35,word,bpe_1000,2000,1351,214,168,267,0.023,0.021190646756294527,1.0,False
132,35,word,bpe_2000,2000,1383,182,171,264,0.0055,0.5946181475185653,1.0,False
132,35,word,bpe_5000,2000,1432,133,169,266,-0.018,0.04382835094269404,1.0,False
132,35,word,char,2000,1376,189,206,229,-0.0085,0.4208271883565343,1.0,False
132,35,bpe_500,bpe_1000,2000,1358,167,161,314,0.003,0.7825375347739945,1.0,False
132,35,bpe_500,bpe_2000,2000,1365,160,189,286,-0.0145,0.13380838418693192,1.0,False
